,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
89,89.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OPERATIONS - INTERNAL FOR THE ARMED FORCES,13000000000.0
90,90.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS INCLUDING WAECINTERNATIONAL,6000000000.0
91,91.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ASSOCIATION (PAWA),208000000.0
92,92.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ASSESSED CONTRIBUTION TO AFRICAN UNION AND OTHERS,3500000000.0
93,93.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS,8500000000.0
94,94.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS AND RECURRENT ADJUSTMENT COSTS,3599600000.0
95,95.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY,12000000000.0
96,96.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PILGRIMS SUPPORT SERVICES,500000000.0
97,97.0,2015.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ELECTION LOGISTICS SUPPORT,500000000.0
98,98.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEES COMPENSATION ACT - EMPLOYEES' COMPENSATION FUND,4000000000.0
99,99.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PROVISION OF SECURITY EQUIPMENT FOR SELECTED PUBLIC BUILDINGS,2500000000.0
100,100.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT FOR OUTSOURCED SERVICES,2000000000.0
101,101.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ALL PROJECTS NATIONWIDE,1000000000.0
102,102.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OPERATION LAFIYA DOLE,8000000000.0
103,103.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,IPPIS CAPTURING,4000000000.0
104,104.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SPECIAL INTERVENTION (RECURRENT),300000000000.0
105,105.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME:,20000000000.0
106,106.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"PRESIDENTIAL AMNESTY PROGRAMME: STIPENDS AND ALLOWANCES OF 30,000NIGER DELTA EX-MILITANTS",7875000000.0
107,107.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: OPERATIONAL COST,1834149261.0
108,108.0,2016.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: REINTEGRATION OF TRANSFORMED EX-MILITANTS,10290850739.0
109,109.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,317509819.0
110,110.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,BUDGET AND NATIONAL PLANNING,2322144778.0
111,111.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE,46173963859.0
112,112.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF DEFENCE,130864439542.0
113,113.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,35433487466.0
114,114.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT,4957964638.0
115,115.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF FINANCE,667842500.0
116,116.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF FOREIGN AFFAIRS,7076226760.0
117,117.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF HEALTH,28650342987.0
118,118.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",5886327845.0
119,119.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,6071503956.0
120,120.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF INTERIOR,61713279496.0
121,121.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,879736744.0
122,122.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,5542655626.0
123,123.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF  SOLID MINERALS DEVELOPMENT,7332623257.0
124,124.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION,29297122872.0
125,125.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF NIGER DELTA,19440328551.0
126,126.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF PETROLEUM RESOURCES,6304900570.0
127,127.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,27006179073.0
128,128.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF TRANSPORTATION,188674679674.0
129,129.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,46081121423.0
130,130.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF WOMEN AFFAIRS,2293528977.0
131,131.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF WORKS POWER & HOUSING,422964928495.0
132,132.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,3497043000.0
133,133.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,123044650.0
134,134.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,799680570.0
135,135.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFRASTRUCTURE CONCESSIONARY REGULATORY COMMSSION,35730000.0
136,136.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF COMMUNICATION TECHNOLOGY,5992735230.0
137,137.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",169871885.0
138,138.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,32084085624.0
139,139.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,1429176735.0
140,140.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,23004199702.0
141,141.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,20319288049.0
142,142.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL EXECUTIVE BODIES:CODE OF CONDUCT BUREAU,4889127358.0
143,143.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,1055560066.0
144,144.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,984780230.0
145,145.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,16841017.0
146,146.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,4411606590.0
147,147.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,269629000.0
148,148.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"REVENUE MOBILISATION, ALLOCATION AND FISCAL COMMISSION",19883417.0
149,149.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL JOB CREATION SCHEME/GRADUATE INTERSHIP SCHEME,2000000000.0
150,150.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,QUICK WINS - COMPLETION OF 2008 & 2009 PROJECTS,527259306.0
151,151.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NELMCO (OUTSTANDING LIABILITIES),3000000000.0
152,152.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,BULK TRADER,3432000000.0
153,153.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SINKING FUND FOR INFRASTRUCTURAL DEVELOPMENT,10000000000.0
154,154.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"SPECIAL INITIATIVE FOR WOMEN PARTICIPATION IN AGRICULTURE, WATER,SPORT, COMMUNICATION TECHNOLOGY/PARTNERSHIP WITH STATES ANDLOCAL GOVT. WOMEN DEVT. CENTRES",1500000000.0
155,155.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GIFMIS CAPITAL,1000000000.0
156,156.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,2011 ELECTION VIOLENCE AND CIVIL DISTURBANCES (DAMAGE DONE TOPUBLIC PROPERTIES AND PLACES OF WORSHIPS),2500000000.0
157,157.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPORTS DEVELOPMENT,1000000000.0
158,158.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTERVENTION MDG's (VERIFICATION OF ASSETS AND LIABILITIES),8267215.0
159,159.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,TRANSITION TO SUSTAINABLE DEVELOPMENT GOALS,609037225.0
160,160.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PROVISION FOR SDG PROGRAMMES,3378044922.0
161,161.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SDG MONITORING AND EVALUATION,581777918.0
162,162.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"CONSULTANCY, FEES, SURVEY AND SHORT TERM AND LONG TERM STUDIES",474533376.0
163,163.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,COMMUNICATION AND ADVOCACY (SDG),427080038.0
164,164.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF FINANCE: SPECIAL PROGRAMME FOR IMPROVINGEFFICIENCY,500000000.0
165,165.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CAPITAL EXIGENCIES/ADJUSTMENT TO CAPITAL COST,5500000000.0
166,166.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CAPITAL DEVELOPMENT OF NATIONAL INSTITUTE FOR LEGISLATIVE STUDIES,4000000000.0
167,167.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL ASSEMBLY CLINIC,1000000000.0
168,168.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF BUDGET AND NATIONAL PLANNING  (INFRASTRUCTURE MASTERPLAN),500000000.0
169,169.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NIGERIA MORTGAGE REFINANCING COMPANY (NMRC),2000000000.0
170,170.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,HEAD OF SERVICE (FEDERAL GOVERNMENT STAFF HOUSING LOANS BOARD),1000000000.0
171,171.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTERVENTION/CONSTITUENCY PROJECTS,100000000000.0
172,172.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL INITIATIVE FOR NORTH EAST (PILOT COUNTERPART FUNDINGCONTRIBUTION),12000000000.0
173,173.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,COUNTERPART FUNDING INCLUDING GLOBAL FUND/HEALTH,3500000000.0
174,174.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SUPPORT TO UNDP MILLENIUM CAMPAIGN PROGRAMME NIGERIA INAFRICA/AFRICAN PARLIMENTARIAN PROGRAMME,500000000.0
175,175.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PAYMENT OF LOCAL CONTRACTORS' DEBTS/OTHER LIABILITIES,25500000000.0
176,176.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GALAXY BACKBONE,3100000000.0
177,177.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,REFUNDS TO STATES FOR FEDERAL  ROADS PROJECTS,5005000000.0
178,178.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FINANCING OF THE IMPLEMENTATION OF THE NIGERIA'S NUCLEAR POWERPROGRAMME (THE SEED MONEY),2000000000.0
179,179.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"MATCHING GRANT FOR THE ""SAFE SCHOOL INITITIATIVE"" PROGRAMME",1000000000.0
180,180.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,REHABILITATION OF EXISTING 23 NOS. FEDERAL SECRETARIATS IN THE STATES OFTHE FEDERATION,500000000.0
181,181.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONSTRUCTION OF FEDERAL SECRETARIAT IN EKITI STATE,500000000.0
182,182.0,2016.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,DEVELOPMENT FINANCE INSTITUTION (DFI),4000000000.0
183,183.0,2016.0,OTHERS,CAPITAL EXPENDITURE,CAPITAL IN FGN SPECIAL INTERVENTION PROGRAMME,200000000000.0
0,0.0,2017.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,100000000000.0
1,1.0,2017.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,64023554666.0
2,2.0,2017.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,95189395583.0
3,3.0,2017.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,125000000000.0
4,4.0,2017.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,4000000000.0
5,5.0,2017.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INEC,45000000000.0
6,6.0,2017.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,1200000000.0
7,7.0,2017.0,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,1488002436547.0
8,8.0,2017.0,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,175882993952.0
9,9.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,2693253521.0
10,10.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF BUDGET AND NATIONAL PLANNING,8843198998.0
11,11.0,2016.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,31752144051.0
12,12.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF DEFENCE,330543309223.0
13,13.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,398686819418.0
14,14.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT,16108983841.0
15,15.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF FINANCE,9521555393.0
16,16.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,56424094037.0
17,17.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF HEALTH,252854396662.0
18,18.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",10797165779.0
19,19.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,40821093321.0
20,20.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INTERIOR,472597817561.0
21,21.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,21038344711.0
22,22.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,8626186611.0
23,23.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF MINES & STEEL DEVELOPMENT,10385055182.0
24,24.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF NIGER DELTA,1764382365.0
25,25.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF PETROLEUM RESOURCES,63222101051.0
26,26.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,27785074208.0
27,27.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF TRANSPORTATION,14810103581.0
28,28.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,7301176944.0
29,29.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL  MINISTRY OF WOMEN AFFAIRS,1466534201.0
30,30.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING",32821929055.0
31,31.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,89316015167.0
32,32.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,332848038.0
33,33.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,(ICPC),5159640131.0
34,34.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURE CONCESSIONARY AND REGULATORY COMMISSION  (ICRC),884624464.0
35,35.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF COMMUNICATIONS TECHNOLOGY,11192782734.0
36,36.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOME AND WAGES COMMISSION",631503868.0
37,37.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,76281025653.0
38,38.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,6652280969.0
39,39.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,STATE HOUSE,22947666215.0
40,40.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SECRETARY TO THE GOVERNMENT OF THE FEDERATION (SGF),51933366906.0
41,41.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL EXECUTIVE BODIES:CODE OF CONDUCT BUREAU,2337582923.0
42,42.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,573778581.0
43,43.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2158721471.0
44,44.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,943761945.0
45,45.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,5563110903.0
46,46.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,705772631.0
47,47.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"REVENUE MOBILIZATION, ALLOCATION AND FISCAL COMMISSION",2061930637.0
48,48.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),33290715716.0
49,49.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,28391013524.0
50,50.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2300000000.0
51,51.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,BENEFITS OF RETIRED HEADS OF THE CIVIL SERVICE OF THE FEDERATION ANDFEDERAL PERMANENT SECRETARIES,2599702192.0
52,52.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),71156115576.0
53,53.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,65619472577.0
54,54.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2017 EXPECTED RETIREES,3170929878.0
55,55.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEATH BENEFITS,2115713121.0
56,56.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COSTS,150000000.0
57,57.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2017 VERIFICATION COSTS,50000000.0
58,58.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ADMINISTRATIVE COSTS,50000000.0
59,59.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE PENSIONS AND GRATUITIES,7412463652.0
60,60.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,7412463652.0
61,61.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",8420000000.0
62,62.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,8420000000.0
63,63.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS,14343326479.0
64,64.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,14343326479.0
65,65.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS,26756754031.0
66,66.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,26756754031.0
67,67.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,2257298262.0
68,68.0,2017.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,2257298262.0
69,69.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,7643405446.0
70,70.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),7643405446.0
71,71.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,3709146567.0
72,72.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,3709146567.0
73,73.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO,16642621229.0
74,74.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO PENSION/ARREARS,16642621229.0
75,75.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE WIDE VOTESTOTAL ALLOCATION:,228677053528.0
76,76.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE-WIDE VOTES PENSIONS,89977053528.0
77,77.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF 33% INCREASE IN PENSION RATE - MILITARY,14481244610.0
78,78.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PENSION LIABILITIES,3000000000.0
79,79.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS/POLICE,5000000000.0
80,80.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO THE REDEMPTION FUND (5% OF TOTAL PERSONNEL COST)INCLUDING ARREARS OF 2014 AND 2015,50195808918.0
81,81.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs INCLUDING DSS/INSURANCE OFSENSITIVE ASSETS/CORPERS PLUS ADMINISTRATION AND MONITORING,15000000000.0
82,82.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ENTITLEMENTS OF FORMER PRESIDENTS/HEADS OF STATE AND VICE-PRESIDENTS/CHIEFSOF GENERAL STAFF,2300000000.0
83,83.0,2017.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OTHER SERVICE-WIDE VOTES,138700000000.0
